ID_REF	Bas	Bmem	Bnv	CD4Tmem	CD4Tnv	CD8Tmem	CD8Tnv	Eos	Mono	NK	Neu	Treg
cg00006459	0.8697896050608921	0.9048248893721972	0.9288700121918455	0.9043515022285076	0.9256830333853285	0.9208816407956886	0.9302097153587484	0.19577228084943024	0.9129069757797702	0.8705412832352464	0.8344101034104767	0.9208522967439777
cg00052246	0.920394417899654	0.8638370146193072	0.9139735519215593	0.7959012263650718	0.9139128641851315	0.8992163033653353	0.9209247418775736	0.9251277152433468	0.950954697805625	0.9298042147344022	0.9428093099958074	0.48114673513220235
cg00322928	0.8778400252011395	0.234254705326994	0.7973804501406355	0.856447887628722	0.8845337803625254	0.8672601740687633	0.8821507781963888	0.871112158098888	0.8683586790193559	0.8623183226049335	0.8665715313032315	0.8680563573947397
cg00351957	0.2903947674539567	0.9480530914806179	0.9545777383030918	0.9335831845449964	0.9540768626781857	0.9417549546262003	0.9569468071971015	0.9192763777227173	0.9378220693917008	0.893869567284342	0.9170629550111674	0.9436244149658766
cg00409021	0.8580162516022861	0.8111958860078173	0.8253285515175612	0.8195432542844685	0.8478029637558062	0.8391405453902503	0.851647121316998	0.849094533139048	0.8709023870707376	0.8747333593447604	0.8682701172937927	0.5572835555028203
cg00434123	0.7452511805071574	0.9030740576896271	0.9066171607460655	0.8877967399158647	0.907506379914866	0.9048816155461397	0.9110346954270827	0.7961467076222125	0.8167348966253968	0.9170519944325187	0.16083882218425702	0.8965938633078093
cg00476430	0.8557802804486335	0.773713893511165	0.2688106006484975	0.8528266806918015	0.8600869294817068	0.8781133388951847	0.8761298686292426	0.873140616955946	0.8916434733799882	0.8882186723351542	0.8918475715618296	0.8571729404214063
cg00597139	0.32060580246506065	0.9568331236696442	0.9616462855770039	0.9590055980421155	0.9615687751540867	0.961575523831333	0.9620129251432005	0.9533945360612323	0.9143941619531687	0.9137642055064046	0.9347605306576137	0.9570209267736903
cg00601124	0.9248929838549628	0.19981484571831434	0.89537482993358	0.9087699778381327	0.9220757652247785	0.9125221149113347	0.9245756348932617	0.9208399852582809	0.9396849901611127	0.9236652318240777	0.9371670201898695	0.9120431919841577
cg00637085	0.9010252860008098	0.9030625402455675	0.9200658143345095	0.903599781594316	0.9192222884937891	0.9210572799863205	0.9248498533228213	0.2922340337789825	0.9201298531424817	0.9088163317172041	0.8358108864337579	0.8928533514933127
cg00639010	0.8048506681026842	0.5271618471822476	0.8622696544160542	0.4498303718873955	0.815174156306375	0.204860374251563	0.7202149956166816	0.822580893198651	0.8438152421941687	0.6265705359740175	0.842668913136854	0.5483999313830673
cg00644351	0.8998888657966297	0.8944311813118045	0.9048122035333745	0.8473316091650103	0.5948655432280916	0.844985676772616	0.1202498077858662	0.9094336743047917	0.945698243499912	0.9270797836983329	0.9151786849526999	0.8765027920713088
cg00678912	0.9125281771598228	0.9110636004042997	0.9134656584705607	0.8537880658224928	0.9092343294129266	0.8397947500799617	0.8990045572195793	0.9118512356273415	0.9186611221980588	0.8958889223329338	0.9168637503677105	0.44711193379450265
cg00771778	0.9035816756216833	0.9101765990747875	0.9082293498833043	0.9061754008365185	0.907641351104244	0.8949918897779893	0.914027878778926	0.9100274132716485	0.15368534463876882	0.939771000758076	0.8782890029987103	0.9087674429508684
cg00783080	0.897213230938942	0.881926276928167	0.8909730983084461	0.5899812805148512	0.8795096474721487	0.890419153743866	0.9029862518972896	0.8996414454587185	0.9126639673930935	0.9113678665981937	0.9053211274713268	0.8506661080578893
cg00790439	0.824858205472974	0.6272399367590925	0.8671020481170717	0.6258082613217485	0.5502702116794942	0.5609750135509752	0.28283736096418577	0.719215833561205	0.801319223226454	0.6812611395016723	0.5447452525231055	0.6684136869395033
cg00843117	0.9206035463021759	0.8521172589031977	0.9273909656490673	0.668792171750936	0.908784820285933	0.847807913359615	0.9203255250276381	0.9347300377703307	0.941711367302556	0.9312640513858822	0.9339644353062355	0.871042930818671
cg00908794	0.898145200846217	0.8818530556531113	0.9048097814378036	0.8984514389429168	0.907565742510827	0.8997893754827925	0.910733030363369	0.862179868577685	0.13026100459103607	0.9429787489079153	0.8657681928191469	0.8986835951928951
